acari	arachnida
agaricales	basidiomycota
agaricomycetes	basidiomycota
ajellomycetaceae	onygenales
anopheles	diptera
aspergillus	eurotiomycetes
brachycera	diptera
clavicipitaceae	sordariomycetes
cordycipitaceae	sordariomycetes
cryptosporidium	coccidia
culicidae	diptera
debaryomycetaceae	saccharomycetes
drosophila	diptera
glomerellales	sordariomycetes
helotiales	leotiomycetes
hypocreaceae	sordariomycetes
hypocreales	sordariomycetes
leishmaniinae	euglenozoa
microbotryomycetes	basidiomycota
mycosphaerellaceae	dothideomycetes
nectriaceae	sordariomycetes
nematocera	diptera
oomycota	stramenopiles
penicillium	eurotiomycetes
phytophthora	stramenopiles
pichiaceae	saccharomycetes
piroplasmida	aconoidasida
plasmodium	aconoidasida
pleosporaceae	dothideomycetes
polyporaceae	basidiomycota
polyporales	basidiomycota
pucciniomycetes	basidiomycota
saccharomycetaceae	saccharomycetes
saprolegniaceae	stramenopiles
sordariales	sordariomycetes
tremellomycetes	basidiomycota
trypanosoma	euglenozoa
ustilaginomycetes	basidiomycota
xylariales	sordariomycetes
